what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494165352624
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.cPerspective",1494165375563
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494165378500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165397481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165427381
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1494165431350
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1494165432228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165450060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165450342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165455661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165457896
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1494165458036
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494165458239
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1494165458552
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1494165458568
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1494165458568
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1494165458568
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1494165458568
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1494165458568
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1494165458568
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1494165458568
